strategy,exact_keys_median,sparsity_median,err_median,err_p90,k_scale,logit_std
top_m_exact,0.0,1.0,0.0012777362717315555,0.0019730371423065662,0.02,0.022450901567935944
band_E_exact,0.0,1.0,0.0012777650263160467,0.0019730119965970516,0.02,0.022450901567935944
top_m_exact,0.0,1.0,0.008632914163172245,0.013585451059043407,0.05,0.05612725764513016
band_E_exact,0.0,1.0,0.008632869459688663,0.013585424050688744,0.05,0.05612725764513016
top_m_exact,19.0,0.9010416865348816,0.04147976636886597,0.06879416108131409,0.1,0.11225451529026031
band_E_exact,19.0,0.9010416865348816,0.12156625092029572,0.15353503823280334,0.1,0.11225451529026031
top_m_exact,134.0,0.3020833134651184,0.560387134552002,0.6610649824142456,0.2,0.22450903058052063
band_E_exact,134.0,0.3020833134651184,0.13127344846725464,0.16549259424209595,0.2,0.22450903058052063
top_m_exact,169.0,0.11979168653488159,0.2102917730808258,0.2625543773174286,0.35,0.3928907811641693
band_E_exact,169.0,0.11979168653488159,0.11573159694671631,0.16002210974693298,0.35,0.3928907811641693
top_m_exact,173.0,0.09895831346511841,0.09460807591676712,0.12069990485906601,0.6,0.6735270619392395
band_E_exact,173.0,0.09895831346511841,0.09202505648136139,0.15927264094352722,0.6,0.6735270619392395
top_m_exact,163.0,0.1510416865348816,0.04805447533726692,0.06539610773324966,1.0,1.1225451231002808
band_E_exact,163.0,0.1510416865348816,0.06476454436779022,0.34069985151290894,1.0,1.1225451231002808
